Candidate: H4TX24094, Total: 567481.0, Minimum: -5000.0, Maximum: 5334.0, Mean: 1554.74, Median: 1000.0, Standard Deviation: 1254.11, Z-score: -0.0446861927539552
Candidate: H2IA01071, Total: 1800.0, Minimum: 1800.0, Maximum: 1800.0, Mean: 1800.00, Median: 1800.0, Standard Deviation: 0.00, Z-score: -0.09738795338774792
Candidate: H2TX17068, Total: 250.0, Minimum: 250.0, Maximum: 250.0, Mean: 250.00, Median: 250.0, Standard Deviation: 0.00, Z-score: -0.09753235938508985
Candidate: H0NY02085, Total: 1080418.0, Minimum: -5000.0, Maximum: 12000.0, Mean: 1622.25, Median: 1000.0, Standard Deviation: 1329.45, Z-score: 0.003101664703190666
Candidate: H2NY22113, Total: 127537.0, Minimum: 10.0, Maximum: 6242.0, Mean: 1574.53, Median: 1000.0, Standard Deviation: 1701.24, Z-score: -0.0856736457182112
Candidate: H0OH18077, Total: 818555.0, Minimum: -2500.0, Maximum: 22006.0, Mean: 1488.28, Median: 1000.0, Standard Deviation: 1557.12, Z-score: -0.021294843478711963
Candidate: H4FL14059, Total: 14111.0, Minimum: 0.0, Maximum: 5000.0, Mean: 564.44, Median: 12.0, Standard Deviation: 1122.81, Z-score: -0.09624099710821471
Candidate: H6CA24048, Total: 1077133.0, Minimum: -5000.0, Maximum: 75000.0, Mean: 2481.87, Median: 2500.0, Standard Deviation: 3978.22, Z-score: 0.002795617153985356
Candidate: H2AZ02295, Total: 1800.0, Minimum: 1800.0, Maximum: 1800.0, Mean: 1800.00, Median: 1800.0, Standard Deviation: 0.00, Z-score: -0.09738795338774792
Candidate: H0OH08029, Total: 2782473.0, Minimum: -5000.0, Maximum: 80072.0, Mean: 3216.73, Median: 3000.0, Standard Deviation: 3419.65, Z-score: 0.16167389038436092
Candidate: H2IN09134, Total: 3500.0, Minimum: 1000.0, Maximum: 2500.0, Mean: 1750.00, Median: 1750.0, Standard Deviation: 750.00, Z-score: -0.09722957261646968
Candidate: S2ME00083, Total: 218195.0, Minimum: 26.0, Maximum: 68750.0, Mean: 21819.50, Median: 5944.5, Standard Deviation: 26049.48, Z-score: -0.07722747868142125
Candidate: H0MO02148, Total: 78480.0, Minimum: 3.0, Maximum: 22094.0, Mean: 4360.00, Median: 1750.0, Standard Deviation: 6211.95, Z-score: -0.09024404895150341
Candidate: S0CT00177, Total: 239233.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1415.58, Median: 1000.0, Standard Deviation: 1422.56, Z-score: -0.07526747005427321
Candidate: H0TN08246, Total: 898137.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1532.66, Median: 1000.0, Standard Deviation: 1149.76, Z-score: -0.013880573749379545
Candidate: S6TN00216, Total: 2133483.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1883.04, Median: 1500.0, Standard Deviation: 1394.98, Z-score: 0.10121063347149813
Candidate: H0GA13032, Total: 500.0, Minimum: 500.0, Maximum: 500.0, Mean: 500.00, Median: 500.0, Standard Deviation: 0.00, Z-score: -0.09750906809519598
Candidate: H0TX22104, Total: 2600.0, Minimum: 2600.0, Maximum: 2600.0, Mean: 2600.00, Median: 2600.0, Standard Deviation: 0.00, Z-score: -0.09731342126008757
Candidate: H8IN09032, Total: 1000.0, Minimum: 1000.0, Maximum: 1000.0, Mean: 1000.00, Median: 1000.0, Standard Deviation: 0.00, Z-score: -0.09746248551540827
Candidate: H0CT03072, Total: 616946.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1752.69, Median: 1000.0, Standard Deviation: 1492.83, Z-score: -0.04007777813555622
Candidate: H8GA02053, Total: 50.0, Minimum: 50.0, Maximum: 50.0, Mean: 50.00, Median: 50.0, Standard Deviation: 0.00, Z-score: -0.09755099241700493
Candidate: H2OK01143, Total: 228291.0, Minimum: -5000.0, Maximum: 8000.0, Mean: 2153.69, Median: 2000.0, Standard Deviation: 1695.11, Z-score: -0.07628688323034764
Candidate: H2IL08039, Total: 242798.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1618.65, Median: 1500.0, Standard Deviation: 1876.27, Z-score: -0.07493533626038677
Candidate: H2MI11125, Total: 500.0, Minimum: 500.0, Maximum: 500.0, Mean: 500.00, Median: 500.0, Standard Deviation: 0.00, Z-score: -0.09750906809519598
Candidate: H2TX35060, Total: 250.0, Minimum: 250.0, Maximum: 250.0, Mean: 250.00, Median: 250.0, Standard Deviation: 0.00, Z-score: -0.09753235938508985
Candidate: H8CA12171, Total: 399132.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1583.86, Median: 1000.0, Standard Deviation: 1403.34, Z-score: -0.06037045420332043
Candidate: H6NY25125, Total: 3636623.0, Minimum: -5000.0, Maximum: 345869.0, Mean: 7639.96, Median: 1500.0, Standard Deviation: 27790.35, Z-score: 0.24125091143572033
Candidate: S2TX00270, Total: 9100.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1300.00, Median: 1000.0, Standard Deviation: 3648.48, Z-score: -0.09670784772284723
Candidate: S8OR00207, Total: 189060.0, Minimum: -1000.0, Maximum: 5000.0, Mean: 1331.41, Median: 1000.0, Standard Deviation: 884.10, Z-score: -0.07994184560565161
Candidate: H0SC04257, Total: 433004.0, Minimum: -2500.0, Maximum: 5000.0, Mean: 1370.27, Median: 1000.0, Standard Deviation: 950.13, Z-score: -0.05721476391818123
Candidate: H4MI03045, Total: -2000.0, Minimum: -1000.0, Maximum: -1000.0, Mean: -1000.00, Median: -1000.0, Standard Deviation: 0.00, Z-score: -0.09774198099413457
Candidate: H2NY10092, Total: 246715.0, Minimum: 10.0, Maximum: 13606.0, Mean: 2442.72, Median: 2000.0, Standard Deviation: 2255.40, Z-score: -0.0745704083303298
Candidate: P20003984, Total: 5647.0, Minimum: 5.0, Maximum: 712.0, Mean: 112.94, Median: 45.0, Standard Deviation: 138.04, Z-score: -0.09702954701886121
Candidate: S2IN00083, Total: 18133659.0, Minimum: -8627.0, Maximum: 982257.0, Mean: 16682.30, Median: 2000.0, Standard Deviation: 70377.10, Z-score: 1.5918695837465735
Candidate: H2NJ10147, Total: 20000.0, Minimum: -2500.0, Maximum: 5000.0, Mean: 1818.18, Median: 2500.0, Standard Deviation: 1735.63, Z-score: -0.09569234748347497
Candidate: H6FL06035, Total: 573570.0, Minimum: -5000.0, Maximum: 33212.0, Mean: 1832.49, Median: 1000.0, Standard Deviation: 2397.34, Z-score: -0.044118910097300366
Candidate: H6NC05109, Total: 1500.0, Minimum: 1500.0, Maximum: 1500.0, Mean: 1500.00, Median: 1500.0, Standard Deviation: 0.00, Z-score: -0.09741590293562055
Candidate: H2TX27190, Total: 158950.0, Minimum: -5000.0, Maximum: 5000.0, Mean: 1938.41, Median: 1250.0, Standard Deviation: 1720.47, Z-score: -0.08274704856046801
